,AAPL__hl,AAPL__co,AAPL__ocp,AAPL__log_returns,AAPL__lret_squared,AAPL__earning_horizon1,AAPL__earning_horizon2,AAPL__earning_horizon3,AAPL__earning_horizon4,AAPL
2015-07-13,0.0172539654730352,0.0166168784314083,0.0008097822128476,0.0174266606442556,0.00030368850121,0,0,0,0,0.1039041533840477
2015-07-14,0.0100287185373152,0.0038507235967935,0.0006768666467081,0.0045275902435015,2.049907341305068e-05,0,0,0,0,0.10651043081257
2015-07-15,0.0118336707098455,0.0092582263673722,-0.0030956090918819,0.0061626172754905,3.797785168417396e-05,0,0,0,0,0.1082375473011601
2015-07-16,0.0084606850174665,0.0080705629042983,0.0011807770884237,0.0092513399927218,8.558729166093517e-05,0,0,0,1,0.0550480203383822
2015-07-17,0.0103202028531562,0.0096243158568893,0.0003924623865824,0.0100167782434716,0.0001003358463788,0,0,1,0,0.0666461987176571
2015-07-20,0.0240284532294993,0.0238015660415838,0.0007723200878176,0.0245738861294015,0.0006038758795007,0,1,0,0,0.1332309020860161
2015-07-21,0.0176399385777207,-0.0115221423573016,0.0003022536006072,-0.0112198887566945,0.0001258859037126,1,0,0,0,0.1621926718011584
2015-07-22,0.0606382380595007,-0.0432237160196164,-0.0061951049644619,-0.0494188209840782,0.0024422198674563,0,0,0,0,0.5395388947079629
2015-07-23,0.0131608797331122,0.0032567482830563,0.0042817307247492,0.0075384790078052,5.682866575112033e-05,0,0,0,0,0.1594107295129369
2015-07-24,0.0139363302544046,-0.01009947667459,-0.0031849696483346,-0.0132844463229244,0.0001764765141066,0,0,0,0,0.1307628587027477
2015-07-27,0.013004033747835,-0.0074466077967142,-0.0012107544187981,-0.0086573622155126,7.49499205305854e-05,0,0,0,0,0.1275875889522107
2015-07-28,0.0099051174703446,0.0021030076868565,0.0039738911222748,0.0060768988091317,3.692869913642699e-05,0,0,0,0,0.1261389686588819
2015-07-29,0.0096831681637316,-0.0008130081748635,-0.0061581632844104,-0.0069711714592739,4.85972315145957e-05,0,0,0,0,0.1459673852799407
2015-07-30,0.0067130829265031,-0.001882237963125,-0.0052189631629298,-0.0071012011260549,5.0427057432684026e-05,0,0,0,0,0.110441115944646
2015-07-31,0.012237485698283,-0.0098425821892411,0.0035160917699323,-0.0063264904193087,4.002448102560569e-05,0,0,0,0,0.1120453680118017
2015-08-03,0.0401461388600499,-0.0238627101411127,0.0015641856637647,-0.0222985244773479,0.0004972241938668,0,0,0,0,0.3850462337502467
2015-08-04,0.0379233393039149,-0.0199981170675491,-0.0082558513340939,-0.0282539684016431,0.000798286730441,0,0,0,0,0.3993189026821371
2015-08-05,0.0452052743434644,0.0148965285396887,-0.0175880864919273,-0.0026915579522386,7.24448421025902e-06,0,0,0,0,0.5602099986733108
2015-08-06,0.0204365864313555,-0.0017265197658938,0.0124830384000637,0.01075651863417,0.0001157026931272,0,0,0,0,0.3026589669116684
2015-08-07,0.0146519592004764,0.004005578326759,-0.0098112356370851,-0.0058056573103257,3.370565680493922e-05,0,0,0,0,0.2230367440746739
2015-08-10,0.0317567648798769,0.030172615052925,0.0099443078115931,0.0401169228645179,0.0016093675001176,0,0,0,0,0.2517288878412724
